# ts,lat,lon,ele,hdop,vdop
1.642351555392999887e+09,4.571787152000000276e+01,-7.331592014000000290e+01,3.439899902343750000e+03,1.899999999999999911e+00,1.600000000000000089e+00
1.642351663599999905e+09,4.571553887999999688e+01,-7.329898409999999842e+01,3.850399902343750000e+03,1.800000000000000044e+00,1.399999999999999911e+00
1.642351735598000050e+09,4.571377975000000049e+01,-7.328754410000000519e+01,4.098200195312500000e+03,2.299999999999999822e+00,1.899999999999999911e+00
1.642351801599999905e+09,4.571271696000000162e+01,-7.327574995000000513e+01,4.338299804687500000e+03,2.200000000000000178e+00,1.899999999999999911e+00
1.642351903607000113e+09,4.571154674999999656e+01,-7.325391222999999741e+01,4.703299804687500000e+03,1.699999999999999956e+00,1.399999999999999911e+00
1.642351975598000050e+09,4.571003756999999723e+01,-7.323863301999999464e+01,4.938100097656250000e+03,2.100000000000000089e+00,1.800000000000000044e+00
1.642352047594000101e+09,4.570838392999999655e+01,-7.322306636999999796e+01,5.188100097656250000e+03,2.100000000000000089e+00,1.800000000000000044e+00
1.642352120000000000e+09,4.570697080000000057e+01,-7.320670479999999714e+01,5.482200195312500000e+03,1.899999999999999911e+00,1.500000000000000000e+00
1.642352185592999935e+09,4.570721946999999830e+01,-7.319042217999999878e+01,5.713100097656250000e+03,3.000000000000000000e+00,2.600000000000000089e+00
1.642352253000000000e+09,4.570796577000000127e+01,-7.317313124000000357e+01,5.987100097656250000e+03,4.500000000000000000e+00,1.800000000000000044e+00
1.642352323604000092e+09,4.570911713000000276e+01,-7.315828752999999551e+01,6.246000000000000000e+03,2.399999999999999911e+00,2.100000000000000089e+00
1.642352389586999893e+09,4.571113148999999964e+01,-7.314345335000000148e+01,6.503299804687500000e+03,3.500000000000000000e+00,3.200000000000000178e+00
1.642352461608000040e+09,4.571303170000000193e+01,-7.312673886999999695e+01,6.762700195312500000e+03,1.899999999999999911e+00,1.600000000000000089e+00
1.642352532000000000e+09,4.571730704000000145e+01,-7.311540592000000061e+01,6.246000000000000000e+03,5.000000000000000000e+02,5.000000000000000000e+02
1.642352599599999905e+09,4.571553703000000013e+01,-7.309042243000000383e+01,7.280799804687500000e+03,1.899999999999999911e+00,1.600000000000000089e+00
1.642352675000000000e+09,4.571647103000000101e+01,-7.306739294999999856e+01,7.553000000000000000e+03,6.299999999999999822e+00,4.500000000000000000e+00
1.642352749592999935e+09,4.571766706999999741e+01,-7.304447288000000071e+01,7.878899902343750000e+03,2.100000000000000089e+00,1.699999999999999956e+00
1.642352833596999884e+09,4.571910617999999715e+01,-7.301668066999999951e+01,8.134600097656250000e+03,2.000000000000000000e+00,1.600000000000000089e+00
1.642352905598000050e+09,4.572051676000000242e+01,-7.299101500999999814e+01,8.402500000000000000e+03,2.000000000000000000e+00,1.600000000000000089e+00
1.642352978000000000e+09,4.572158585999999758e+01,-7.296459849999999392e+01,8.705599609375000000e+03,2.000000000000000000e+00,1.600000000000000089e+00
1.642353049604000092e+09,4.572215871000000220e+01,-7.293789988000000335e+01,8.952200195312500000e+03,1.800000000000000044e+00,1.600000000000000089e+00
1.642353117000000000e+09,4.572296824000000015e+01,-7.291291920999999832e+01,9.190700195312500000e+03,3.700000000000000178e+00,2.799999999999999822e+00
1.642353184000000000e+09,4.572407311999999990e+01,-7.288838676000000305e+01,9.342299804687500000e+03,2.299999999999999822e+00,1.000000000000000000e+00
1.642353253589999914e+09,4.572435175999999757e+01,-7.286008916000000113e+01,9.642200195312500000e+03,2.100000000000000089e+00,1.800000000000000044e+00
1.642353349601999998e+09,4.572461650999999705e+01,-7.282059712999999590e+01,9.959700195312500000e+03,1.600000000000000089e+00,1.199999999999999956e+00
1.642353421592000008e+09,4.572605157000000276e+01,-7.279034575999999390e+01,1.024679980468750000e+04,1.300000000000000044e+00,1.000000000000000000e+00
1.642353493404000044e+09,4.572711374000000006e+01,-7.275871218999999712e+01,1.052890039062500000e+04,1.500000000000000000e+00,1.199999999999999956e+00
1.642353565398000002e+09,4.572744265000000041e+01,-7.272931830000000275e+01,1.084829980468750000e+04,1.199999999999999956e+00,1.000000000000000000e+00
1.642353631591000080e+09,4.573002113999999807e+01,-7.269828293999999858e+01,1.109359960937500000e+04,2.399999999999999911e+00,2.000000000000000000e+00
1.642353703592000008e+09,4.573112434000000093e+01,-7.266613361000000282e+01,1.139709960937500000e+04,1.500000000000000000e+00,1.100000000000000089e+00
1.642353776000000000e+09,4.573165468999999916e+01,-7.263185932999999750e+01,1.168800000000000000e+04,1.600000000000000089e+00,1.300000000000000044e+00
1.642353841586999893e+09,4.573027686999999730e+01,-7.260460084000000336e+01,1.193509960937500000e+04,1.300000000000000044e+00,1.000000000000000000e+00
1.642353908625999928e+09,4.572891048000000325e+01,-7.257982214999999826e+01,1.225790039062500000e+04,1.600000000000000089e+00,1.000000000000000000e+00
1.642353979605000019e+09,4.573095336000000088e+01,-7.255338650000000200e+01,1.241409960937500000e+04,2.000000000000000000e+00,1.699999999999999956e+00
1.642354075598000050e+09,4.573645139999999998e+01,-7.251346626000000128e+01,1.282570019531250000e+04,1.600000000000000089e+00,1.300000000000000044e+00
1.642354147598999977e+09,4.574044751000000275e+01,-7.248390870000000064e+01,1.311009960937500000e+04,2.100000000000000089e+00,1.600000000000000089e+00
1.642354219596999884e+09,4.573916343999999867e+01,-7.245346019000000126e+01,1.339929980468750000e+04,1.199999999999999956e+00,1.000000000000000000e+00
1.642354292000000000e+09,4.573533035999999896e+01,-7.242505491999999379e+01,1.366079980468750000e+04,1.399999999999999911e+00,1.100000000000000089e+00
1.642354363390000105e+09,4.573377183000000201e+01,-7.240073133999999300e+01,1.392959960937500000e+04,1.300000000000000044e+00,1.000000000000000000e+00
1.642354429601999998e+09,4.573081721999999871e+01,-7.237586247999999500e+01,1.415620019531250000e+04,3.000000000000000000e+00,2.200000000000000178e+00
1.642354501595000029e+09,4.572755910000000057e+01,-7.235143232000000069e+01,1.441329980468750000e+04,2.299999999999999822e+00,1.699999999999999956e+00
1.642354573404000044e+09,4.572861577999999838e+01,-7.232796815000000379e+01,1.465629980468750000e+04,1.800000000000000044e+00,1.399999999999999911e+00
1.642354645394999981e+09,4.573143730000000318e+01,-7.230303087000000062e+01,1.494309960937500000e+04,1.199999999999999956e+00,1.000000000000000000e+00
1.642354723589999914e+09,4.573587835000000013e+01,-7.227502441999999405e+01,1.524840039062500000e+04,1.600000000000000089e+00,1.300000000000000044e+00
1.642354795605999947e+09,4.573962242999999717e+01,-7.224756064999999694e+01,1.552470019531250000e+04,2.600000000000000089e+00,2.100000000000000089e+00
1.642354863000000000e+09,4.573977093999999965e+01,-7.222238550000000146e+01,1.586129980468750000e+04,3.000000000000000000e+00,2.200000000000000178e+00
1.642354933591000080e+09,4.573786677999999739e+01,-7.219850786000000653e+01,1.609840039062500000e+04,2.399999999999999911e+00,2.000000000000000000e+00
